"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1998","1998","PER","Persons","3","thousands",,,122,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","1999","1999","PER","Persons","3","thousands",,,123,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2000","2000","PER","Persons","3","thousands",,,122,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2001","2001","PER","Persons","3","thousands",,,119,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2002","2002","PER","Persons","3","thousands",,,117,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2003","2003","PER","Persons","3","thousands",,,119,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2004","2004","PER","Persons","3","thousands",,,120,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2005","2005","PER","Persons","3","thousands",,,135,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2006","2006","PER","Persons","3","thousands",,,140,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2007","2007","PER","Persons","3","thousands",,,153,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2008","2008","PER","Persons","3","thousands",,,156,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2009","2009","PER","Persons","3","thousands",,,159,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2010","2010","PER","Persons","3","thousands",,,158,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2011","2011","PER","Persons","3","thousands",,,156,,
"AUS","Australia","YVPOI2L1_ST","Natural increase","A","Annual","2012","2012","PER","Persons","3","thousands",,,162,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1995","1995",,,"0","units",,,107,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1996","1996",,,"0","units",,,97,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1997","1997",,,"0","units",,,72,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1998","1998",,,"0","units",,,89,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","1999","1999",,,"0","units",,,104,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2000","2000",,,"0","units",,,111,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2001","2001",,,"0","units",,,136,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2002","2002",,,"0","units",,,110,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2003","2003",,,"0","units",,,110,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2004","2004",,,"0","units",,,106,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2005","2005",,,"0","units",,,137,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2006","2006",,,"0","units",,,182,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2007","2007",,,"0","units",,,244,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2008","2008",,,"0","units",,,316,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2009","2009",,,"0","units",,,247,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2010","2010",,,"0","units",,,172,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2011","2011",,,"0","units",,,206,,
"AUS","Australia","YVPOMIL1_ST","Net migration","A","Annual","2012","2012",,,"0","units",,,238,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","1995","1995","PER","Persons","3","thousands",,,-11,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","1996","1996","PER","Persons","3","thousands",,,-12,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","1997","1997","PER","Persons","3","thousands",,,-15,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","1998","1998","PER","Persons","3","thousands",,,-15,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","1999","1999","PER","Persons","3","thousands",,,-14,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2000","2000","PER","Persons","3","thousands",,,-11,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2001","2001","PER","Persons","3","thousands",,,-10,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2002","2002","PER","Persons","3","thousands",,,-9,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2003","2003","PER","Persons","3","thousands",,,-7,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2004","2004","PER","Persons","3","thousands",,,-7,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2005","2005","PER","Persons","3","thousands",,,-6,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2006","2006","PER","Persons","3","thousands",,,-6,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2007","2007","PER","Persons","3","thousands",,,-9,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2008","2008","PER","Persons","3","thousands",,,-12,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2009","2009","PER","Persons","3","thousands",,,-16,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2010","2010","PER","Persons","3","thousands",,,-23,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2011","2011","PER","Persons","3","thousands",,,-14,,
"AUS","Australia","YVPOSAL1_ST","Statistical adjustments","A","Annual","2012","2012","PER","Persons","3","thousands",,,0,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","1995","1995","_1000","Per thousand","0","units",,,12.55102,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","1996","1996","_1000","Per thousand","0","units",,,11.52263,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","1997","1997","_1000","Per thousand","0","units",,,9.771987,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","1998","1998","_1000","Per thousand","0","units",,,10.5331,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","1999","1999","_1000","Per thousand","0","units",,,11.32226,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2000","2000","_1000","Per thousand","0","units",,,11.66579,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2001","2001","_1000","Per thousand","0","units",,,12.71835,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2002","2002","_1000","Per thousand","0","units",,,11.18207,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2003","2003","_1000","Per thousand","0","units",,,11.25989,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2004","2004","_1000","Per thousand","0","units",,,10.98488,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2005","2005","_1000","Per thousand","0","units",,,13.18202,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2006","2006","_1000","Per thousand","0","units",,,15.43723,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2007","2007","_1000","Per thousand","0","units",,,18.63414,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2008","2008","_1000","Per thousand","0","units",,,21.65113,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2009","2009","_1000","Per thousand","0","units",,,17.9964,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2010","2010","_1000","Per thousand","0","units",,,13.9425,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2011","2011","_1000","Per thousand","0","units",,,15.57326,,
"AUS","Australia","YVPOI3R1_ST","Total increase rate","A","Annual","2012","2012","_1000","Per thousand","0","units",,,17.60563,,
"AUS","Australia","YVPOBIR1_ST","Crude birth rate","A","Annual","1995","1995","_1000","Per thousand","0","units",,,14.16155,,
"AUS","Australia","YVPOBIR1_ST","Crude birth rate","A","Annual","1996","1996","_1000","Per thousand","0","units",,,13.88203,,
"AUS","Australia","YVPOBIR1_ST","Crude birth rate","A","Annual","1997","1997","_1000","Per thousand","0","units",,,13.68078,,
"AUS","Australia","YVPOBIR1_ST","Crude birth rate","A","Annual","1998","1998","_1000","Per thousand","0","units",,,13.38134,,
"AUS","Australia","YVPOBIR1_ST","Crude birth rate","A","Annual","1999","1999","_1000","Per thousand","0","units",,,13.34219,,
"AUS","Australia","YVPOBIR1_ST","Crude birth rate","A","Annual","2000","2000","_1000","Per thousand","0","units",,,13.1897,,
"AUS","Australia","YVPOBIR1_ST","Crude birth rate","A","Annual","2001","2001","_1000","Per thousand","0","units",,,12.87409,,
